MW or Mn (g/mol),Organic Content on Adsorbent Basis (%),N Content on Adsorbent Basis (mmol/g),Amine 2 or Additive 2  to Amine 1 Ratio,OH to N ratio,BET Surface Area of Solid Support (m2g-1),Pore Volume of Solid Support (cm3g-1),Average Pore Diameters (nm),CO2 Concentration (vol%),Flow Rate (mL/min),Adsorption Time (min),Adsorption Temperature (℃),CO2 Capacity (mmol/g),1° Amine,2° Amine,Amine_Density (g/cm³),Amine_Viscosity (mPa·s),Support_Morphology_Cubic,Support_Morphology_Foam-like,Support_Morphology_Hollow Spheres,Support_Morphology_Irregular,Support_Morphology_Mesoporous Carbon,Support_Morphology_Monolith,Support_Morphology_Nanoparticles,Support_Morphology_Octahedral,Support_Morphology_Spherical,Support_Morphology_Spherical Carbon,Support_Morphology_Tubular Hollow,Amine_structure_Linear
103,45.17,12.34,0.0,0.0,1362.0,0.93,2.74,100.0,60.0,30.0,40,0.21,0.6666666666666666,0.3333333333333333,0.95,20.0,1,0,0,0,0,0,0,0,0,0,0,1
600,30.98,8.15,0.0,0.0,463.59,1.46,14.86,100.0,60.0,60.0,120,1.42,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,1,0,0,0,0,0,0,0,0
600,48.98,5.26,0.8,0.41,231.0,1.06,16.9,0.04,90.0,800.0,30,1.12,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,1,0,0,0,0,0
600,39.9,9.23,0.0,0.0,841.0,1.08,6.8,10.0,100.0,900.0,25,1.62,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
15000,50.0,8.77,0.0,0.0,950.0,1.31,8.01,100.0,20.0,50.0,140,2.47,1.0,0.0,1.08,100.0,0,0,0,0,0,0,0,0,0,0,0,1
103,19.69,5.27,0.0,0.0,483.0,1.36,9.04,100.0,60.0,30.0,40,0.99,0.6666666666666666,0.3333333333333333,0.95,20.0,0,0,0,0,0,0,0,0,0,0,0,1
331,60.0,12.69,0.0,0.0,452.0,0.54,4.75,100.0,80.0,60.0,25,3.62,0.2857142857142857,0.7142857142857143,0.98,18.0,0,1,0,0,0,0,0,0,0,0,0,1
600,18.3,4.27,0.0,0.0,124.0,1.0,16.1,0.04,90.0,720.0,25,0.58,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,1,0,0,0,0,0
305,50.16,11.51,0.0,0.0,493.0,1.35,8.81,100.0,60.0,90.0,40,2.07,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
103,19.69,5.17,0.0,0.0,493.0,1.35,8.81,100.0,60.0,90.0,80,0.59,0.6666666666666666,0.3333333333333333,0.95,20.0,0,0,0,0,0,0,0,0,0,0,0,1
189,60.0,12.28,0.0,0.0,854.0,1.98,8.4,100.0,80.0,60.0,75,4.51,0.5,0.5,0.98,15.0,0,0,0,0,0,0,0,0,1,0,0,1
600,30.0,7.5,0.0,0.0,3492.0,2.2,2.52,0.04,90.0,750.0,-20,0.78,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,1,0,0,0,0
600,72.23,16.54,0.0,0.0,447.0,4.52,40.45,10.0,100.0,900.0,40,2.65,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,1,0,0,0,0,0,0,0,0,0
600,70.0,16.33,0.0,0.0,240.0,1.1,18.4,100.0,30.0,180.0,75,2.45,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,1,0,0,0,0,0,0,0,0,0
6854,50.6,11.9,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,60,1.93,0.3993993993993994,0.3003003003003003,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
189,28.56,7.56,0.0,0.0,270.0,1.39,20.4,0.04,100.0,120.0,25,1.49,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,0,0,0,1
103,18.8,5.25,0.0,0.0,1362.0,0.93,2.74,100.0,60.0,30.0,120,0.69,0.6666666666666666,0.3333333333333333,0.95,20.0,1,0,0,0,0,0,0,0,0,0,0,1
350,48.6,11.7,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,30,2.66,0.4552058111380145,0.3026634382566586,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
600,23.9,5.57,0.0,0.0,447.0,4.52,40.45,10.0,100.0,900.0,80,1.06,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,1,0,0,0,0,0,0,0,0,0
537,49.2,10.99,0.0,0.0,270.0,1.39,20.4,0.04,100.0,120.0,30,1.56,0.39887640449438205,0.3202247191011236,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
10000,70.0,15.86,0.0,0.0,756.0,1.95,10.3,100.0,30.0,180.0,100,3.84,0.32275132275132273,0.4126984126984127,1.03,200.0,0,0,0,0,0,0,0,0,0,0,1,0
600,70.0,16.33,0.0,0.0,968.0,0.87,3.6,100.0,30.0,180.0,75,2.72,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
232,85.99,22.1,0.0,0.0,1410.0,8.41,67.1,100.0,50.0,180.0,75,5.17,0.3333333333333333,0.6666666666666666,0.97,18.0,0,0,0,0,0,0,0,0,0,1,0,1
189,11.4,3.01,0.0,0.0,124.0,1.0,16.1,0.04,90.0,720.0,25,0.22,0.4,0.6,0.98,15.0,0,0,0,0,0,0,1,0,0,0,0,1
189,52.08,15.52,0.42,0.0,981.0,1.9,3.3,100.0,50.0,30.0,75,4.02,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,1,0,0,1
189,50.0,13.21,0.0,0.0,1380.0,0.65,2.1,0.04,300.0,180.0,25,0.65,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,0,0,0,1
537,37.76,8.44,0.0,0.0,270.0,1.39,20.4,0.04,100.0,120.0,35,1.4,0.39887640449438205,0.3202247191011236,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
232,83.14,21.6,0.0,0.0,1410.0,8.41,67.1,100.0,50.0,180.0,75,5.43,0.3333333333333333,0.6666666666666666,0.97,18.0,0,0,0,0,0,0,0,0,0,1,0,1
600,24.8,5.76,0.0,0.0,841.0,1.08,6.8,10.0,100.0,900.0,25,0.85,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
189,50.0,6.47,4.0,1.18,935.0,1.45,6.2,0.04,100.0,300.0,25,1.1,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,0,0,0,1
146,42.86,11.7,0.0,0.0,817.0,1.1,5.71,10.0,50.0,600.0,75,1.85,0.5,0.5,0.95,22.0,0,0,0,1,0,0,0,0,0,0,0,1
331,48.92,10.34,0.0,0.0,452.0,0.54,4.75,100.0,80.0,60.0,85,1.93,0.2857142857142857,0.7142857142857143,0.98,18.0,0,1,0,0,0,0,0,0,0,0,0,1
189,50.69,17.16,0.06,0.0,981.0,1.9,3.3,0.04,50.0,30.0,25,2.75,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,1,0,0,1
1020,49.4,11.7,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,30,1.79,0.403954802259887,0.3135593220338983,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
189,10.0,2.64,0.0,0.0,3492.0,2.2,2.52,0.04,90.0,750.0,-20,0.02,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,1,0,0,0,1
600,46.59,12.2,0.0,0.0,1224.86,1.09,6.46,100.0,60.0,60.0,30,1.92,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,1,0,0,0,0,0,0,0,0
537,10.0,2.34,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,45,0.53,0.40740740740740744,0.3076923076923077,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
600,60.0,14.0,0.0,0.0,729.0,0.94,8.1,0.04,60.0,300.0,10,0.51,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
10000,50.0,11.33,0.0,0.0,237.0,1.38,23.3,100.0,30.0,180.0,75,2.93,0.32275132275132273,0.4126984126984127,1.03,200.0,0,0,1,0,0,0,0,0,0,0,0,0
103,49.49,12.42,0.0,0.0,493.0,1.35,8.81,100.0,60.0,90.0,20,0.99,0.6666666666666666,0.3333333333333333,0.95,20.0,0,0,0,0,0,0,0,0,0,0,0,1
600,76.48,17.49,0.0,0.0,447.0,4.52,40.45,0.04,100.0,900.0,50,2.62,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,1,0,0,0,0,0,0,0,0,0
600,35.7,8.33,0.0,0.0,124.0,1.0,16.1,0.04,50.0,720.0,25,2.0,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,1,0,0,0,0,0
189,50.0,11.78,0.0,0.0,967.0,3.0,5.09,0.04,20.0,750.0,30,2.98,0.4,0.6,0.98,15.0,0,0,1,0,0,0,0,0,0,0,0,1
600,72.36,17.17,0.0,0.0,447.0,4.52,40.45,0.04,100.0,900.0,60,1.54,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,1,0,0,0,0,0,0,0,0,0
600,75.0,17.5,0.0,0.0,756.0,1.95,10.3,100.0,30.0,180.0,75,3.54,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,1,0
305,44.1,10.11,0.0,0.0,1005.0,1.13,3.18,100.0,60.0,30.0,80,1.57,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
600,56.69,13.15,0.0,0.0,447.0,4.52,40.45,10.0,100.0,900.0,30,1.87,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,1,0,0,0,0,0,0,0,0,0
600,9.2,2.15,0.0,0.0,124.0,1.0,16.1,0.04,90.0,720.0,-20,0.3,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,1,0,0,0,0,0
2373,135.0,6.75,0.0,0.0,608.0,2.03,28.4,10.0,90.0,180.0,75,1.15,0.47619047619047616,0.047619047619047616,1.1,120.0,0,1,0,0,0,0,0,0,0,0,0,0
537,45.3,10.7,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,75,2.95,0.40740740740740744,0.3076923076923077,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
2200,35.0,6.17,0.0,0.0,608.0,2.03,28.4,10.0,90.0,180.0,30,1.3,1.0,0.0,1.08,100.0,0,1,0,0,0,0,0,0,0,0,0,1
537,37.8,8.95,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,105,2.89,0.40740740740740744,0.3076923076923077,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
189,50.0,13.23,0.0,0.0,643.0,1.14,7.12,0.04,100.0,350.0,5,1.98,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,0,0,0,1
103,47.1,12.69,0.0,0.0,483.0,1.36,9.04,100.0,60.0,30.0,100,0.46,0.6666666666666666,0.3333333333333333,0.95,20.0,0,0,0,0,0,0,0,0,0,0,0,1
305,44.12,10.14,0.0,0.0,483.0,1.36,9.04,100.0,60.0,30.0,120,2.81,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
600,50.0,12.5,0.0,0.0,3492.0,2.2,2.52,0.04,90.0,750.0,-20,1.64,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,1,0,0,0,0
189,72.8,19.21,0.64,0.46,272.0,1.54,28.0,100.0,70.0,100.0,80,3.41,0.4,0.6,0.98,15.0,0,1,0,0,0,0,0,0,0,0,0,1
600,72.36,16.64,0.0,0.0,447.0,4.52,40.45,0.04,100.0,900.0,50,2.56,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,1,0,0,0,0,0,0,0,0,0
189,60.8,18.2,0.26,0.0,981.0,1.9,3.3,15.0,50.0,30.0,75,4.55,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,1,0,0,1
10000,50.0,11.33,0.0,0.0,735.0,1.03,5.6,100.0,30.0,180.0,75,1.54,0.32275132275132273,0.4126984126984127,1.03,200.0,0,0,0,0,0,0,0,0,0,0,1,0
103,45.94,12.56,0.0,0.0,1005.0,1.13,3.18,100.0,60.0,30.0,60,1.6,0.6666666666666666,0.3333333333333333,0.95,20.0,0,0,0,0,0,0,0,0,0,0,0,1
305,44.12,10.14,0.0,0.0,483.0,1.36,9.04,100.0,60.0,30.0,60,2.65,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
189,50.69,17.16,0.06,0.0,981.0,1.9,3.3,15.0,50.0,30.0,75,3.41,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,1,0,0,1
600,44.44,5.57,0.67,0.32,201.0,0.45,9.2,0.04,90.0,800.0,30,0.9,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,1,0,0,0,0,0
146,9.09,2.49,0.0,0.0,817.0,1.1,5.71,10.0,50.0,600.0,75,0.24,0.5,0.5,0.95,22.0,0,0,0,1,0,0,0,0,0,0,0,1
600,47.35,33.81,0.0,0.0,907.55,1.34,6.54,100.0,60.0,60.0,120,1.45,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,1,0,0,0,0,0,0,0,0
146,33.33,9.11,0.0,0.0,817.0,1.1,5.71,10.0,50.0,600.0,75,1.67,0.5,0.5,0.95,22.0,0,0,0,1,0,0,0,0,0,0,0,1
350,49.21,11.05,0.0,0.0,270.0,1.39,20.4,0.04,100.0,120.0,25,1.7,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
600,83.52,19.18,0.0,0.0,447.0,4.52,40.45,0.04,100.0,900.0,50,2.13,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,1,0,0,0,0,0,0,0,0,0
600,50.0,11.67,0.0,0.0,735.0,1.03,5.6,100.0,30.0,180.0,75,2.11,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,1,0
103,18.8,5.25,0.0,0.0,1362.0,0.93,2.74,100.0,60.0,30.0,80,0.24,0.6666666666666666,0.3333333333333333,0.95,20.0,1,0,0,0,0,0,0,0,0,0,0,1
189,50.0,13.21,0.0,0.0,1650.0,0.92,1.82,0.04,100.0,180.0,25,1.19,0.4,0.6,0.98,15.0,1,0,0,0,0,0,0,0,0,0,0,1
600,33.77,6.36,0.0,0.0,880.0,1.13,5.14,0.04,90.0,800.0,30,0.63,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
600,50.0,11.67,0.0,0.0,597.0,1.42,58.0,100.0,60.0,60.0,40,4.06,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,1,0,0,0,0,0,0,0,0
189,54.36,12.41,0.0,0.0,576.0,0.73,3.2,100.0,50.0,30.0,50,3.24,0.4,0.6,0.98,15.0,0,0,0,0,0,1,0,0,0,0,0,1
537,45.3,10.7,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,120,2.71,0.40740740740740744,0.3076923076923077,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
350,16.67,4.05,0.0,0.0,817.0,1.1,5.71,10.0,50.0,600.0,75,0.28,0.4552058111380145,0.3026634382566586,1.03,200.0,0,0,0,1,0,0,0,0,0,0,0,0
2200,35.0,6.17,0.0,0.0,608.0,2.03,28.4,10.0,90.0,180.0,50,1.26,1.0,0.0,1.08,100.0,0,1,0,0,0,0,0,0,0,0,0,1
331,47.59,10.06,0.0,0.0,864.0,0.48,2.24,100.0,80.0,60.0,25,1.37,0.2857142857142857,0.7142857142857143,0.98,18.0,0,0,0,0,0,0,0,0,1,0,0,1
305,40.8,9.85,0.0,0.0,1527.0,2.77,10.5,15.0,50.0,60.0,70,0.29,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,1,0,0,0,0,0,0,0
232,79.59,20.4,0.0,0.0,871.0,3.0,18.4,10.0,50.0,180.0,100,0.82,0.3333333333333333,0.6666666666666666,0.97,18.0,0,0,0,0,1,0,0,0,0,0,0,1
600,72.36,15.27,0.0,0.0,447.0,4.52,40.45,0.04,100.0,900.0,30,3.36,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,1,0,0,0,0,0,0,0,0,0
600,41.99,9.81,0.0,0.0,447.0,4.52,40.45,0.04,100.0,900.0,50,1.17,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,1,0,0,0,0,0,0,0,0,0
305,19.77,4.39,0.0,0.0,493.0,1.35,8.81,100.0,60.0,90.0,40,1.05,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
600,35.06,5.75,0.31,0.14,880.0,1.13,5.14,0.04,90.0,800.0,30,0.79,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
189,30.0,7.92,0.0,0.0,3492.0,2.2,2.52,0.04,90.0,750.0,25,0.39,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,1,0,0,0,1
189,70.0,15.16,0.0,0.0,272.0,1.5,27.8,100.0,70.0,120.0,30,3.6,0.4,0.6,0.98,15.0,0,1,0,0,0,0,0,0,0,0,0,1
6854,50.6,11.9,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,75,2.68,0.3993993993993994,0.3003003003003003,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
600,50.0,11.67,0.0,0.0,756.0,1.95,10.3,100.0,30.0,180.0,50,2.86,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,1,0
600,30.07,6.08,0.0,0.0,201.0,0.45,9.2,0.04,90.0,800.0,30,0.71,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,1,0,0,0,0,0
305,21.9,5.28,0.0,0.0,1245.0,1.02,3.63,15.0,50.0,60.0,50,0.4,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,1,0,0,0,0,0,0,0
600,40.0,9.33,0.0,0.0,597.0,1.42,58.0,100.0,60.0,60.0,25,3.28,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,1,0,0,0,0,0,0,0,0
189,66.33,19.86,0.19,0.0,981.0,1.9,3.3,100.0,50.0,30.0,50,4.59,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,1,0,0,1
600,70.0,16.33,0.0,0.0,756.0,1.95,10.3,100.0,30.0,180.0,50,3.45,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,1,0
600,50.0,11.67,0.0,0.0,597.0,1.42,58.0,100.0,60.0,60.0,90,3.18,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,1,0,0,0,0,0,0,0,0
189,70.0,16.09,0.0,0.0,967.0,3.0,5.09,0.04,20.0,750.0,30,5.88,0.4,0.6,0.98,15.0,0,0,1,0,0,0,0,0,0,0,0,1
600,50.0,11.67,0.0,0.0,597.0,1.42,58.0,100.0,60.0,60.0,60,3.86,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,1,0,0,0,0,0,0,0,0
103,36.93,9.93,0.0,0.0,1005.0,1.13,3.18,100.0,60.0,30.0,80,1.66,0.6666666666666666,0.3333333333333333,0.95,20.0,0,0,0,0,0,0,0,0,0,0,0,1
305,40.8,9.85,0.0,0.0,1245.0,1.02,3.63,15.0,50.0,60.0,70,0.97,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,1,0,0,0,0,0,0,0
189,50.76,12.9,0.04,0.0,576.0,0.73,3.2,100.0,50.0,30.0,25,2.58,0.4,0.6,0.98,15.0,0,0,0,0,0,1,0,0,0,0,0,1
232,66.67,17.1,0.0,0.0,871.0,3.0,18.4,100.0,50.0,180.0,25,2.49,0.3333333333333333,0.6666666666666666,0.97,18.0,0,0,0,0,1,0,0,0,0,0,0,1
600,30.29,8.02,0.0,0.0,255.02,0.86,11.71,100.0,60.0,60.0,90,1.9,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,1,0,0,0,0,0
189,67.55,12.64,0.42,0.0,576.0,0.73,3.2,100.0,50.0,30.0,25,2.73,0.4,0.6,0.98,15.0,0,0,0,0,0,1,0,0,0,0,0,1
146,23.08,6.32,0.0,0.0,817.0,1.1,5.71,10.0,50.0,600.0,75,1.15,0.5,0.5,0.95,22.0,0,0,0,1,0,0,0,0,0,0,0,1
600,46.66,12.3,0.0,0.0,255.02,0.86,11.71,100.0,60.0,60.0,60,2.09,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,1,0,0,0,0,0
600,56.76,13.07,0.0,0.0,447.0,4.52,40.45,0.04,100.0,900.0,50,1.83,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,1,0,0,0,0,0,0,0,0,0
103,34.82,9.15,0.0,0.0,1362.0,0.93,2.74,100.0,60.0,30.0,100,1.46,0.6666666666666666,0.3333333333333333,0.95,20.0,1,0,0,0,0,0,0,0,0,0,0,1
103,49.49,13.44,0.0,0.0,493.0,1.35,8.81,100.0,60.0,90.0,100,0.5,0.6666666666666666,0.3333333333333333,0.95,20.0,0,0,0,0,0,0,0,0,0,0,0,1
600,39.76,4.97,0.61,0.3,880.0,1.13,5.14,0.04,90.0,800.0,30,0.73,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
10000,50.0,11.33,0.0,0.0,525.0,1.17,8.9,100.0,30.0,180.0,75,2.5,0.32275132275132273,0.4126984126984127,1.03,200.0,0,0,0,0,0,0,0,0,0,0,1,0
600,72.23,16.8,0.0,0.0,447.0,4.52,40.45,10.0,100.0,900.0,70,3.75,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,1,0,0,0,0,0,0,0,0,0
15000,50.0,8.77,0.0,0.0,950.0,1.31,8.01,100.0,100.0,50.0,140,1.99,1.0,0.0,1.08,100.0,0,0,0,0,0,0,0,0,0,0,0,1
600,25.0,5.83,0.0,0.0,643.0,1.14,7.12,0.04,100.0,350.0,25,0.89,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
600,46.59,12.2,0.0,0.0,1224.86,1.09,6.46,100.0,60.0,60.0,90,3.08,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,1,0,0,0,0,0,0,0,0
15000,50.0,8.77,0.0,0.0,950.0,1.31,8.01,100.0,100.0,50.0,100,0.98,1.0,0.0,1.08,100.0,0,0,0,0,0,0,0,0,0,0,0,1
600,70.0,16.33,0.0,0.0,756.0,1.95,10.3,100.0,30.0,180.0,75,4.88,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,1,0
600,35.7,8.33,0.0,0.0,124.0,1.0,16.1,0.04,90.0,720.0,-20,0.49,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,1,0,0,0,0,0
2200,35.0,6.17,0.0,0.0,608.0,2.03,28.4,10.0,90.0,180.0,100,1.2,1.0,0.0,1.08,100.0,0,1,0,0,0,0,0,0,0,0,0,1
462,50.0,14.07,0.0,7.69,1650.0,0.92,1.82,0.04,100.0,180.0,25,0.81,0.0,1.0,1.02,150.0,1,0,0,0,0,0,0,0,0,0,0,1
145,40.0,8.26,0.0,0.0,124.0,1.0,16.1,0.04,90.0,720.0,25,0.19,0.3333333333333333,0.6666666666666666,1.04,20.0,0,0,0,0,0,0,1,0,0,0,0,1
189,49.65,13.13,0.0,0.0,270.0,1.39,20.4,0.04,100.0,120.0,30,2.69,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,0,0,0,1
103,19.12,4.77,0.0,0.0,1005.0,1.13,3.18,100.0,60.0,30.0,100,0.59,0.6666666666666666,0.3333333333333333,0.95,20.0,0,0,0,0,0,0,0,0,0,0,0,1
103,49.49,13.26,0.0,0.0,493.0,1.35,8.81,100.0,60.0,90.0,40,0.89,0.6666666666666666,0.3333333333333333,0.95,20.0,0,0,0,0,0,0,0,0,0,0,0,1
189,51.06,15.29,0.06,0.0,981.0,1.9,3.3,100.0,50.0,30.0,25,3.86,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,1,0,0,1
305,10.0,2.31,0.0,0.0,493.0,1.35,8.81,100.0,60.0,90.0,100,0.17,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
305,21.9,5.28,0.0,0.0,1527.0,2.77,10.5,15.0,50.0,60.0,50,0.34,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,1,0,0,0,0,0,0,0
189,70.0,15.16,0.0,0.0,272.0,1.5,27.8,100.0,70.0,120.0,40,4.15,0.4,0.6,0.98,15.0,0,1,0,0,0,0,0,0,0,0,0,1
189,39.29,10.39,0.0,0.0,270.0,1.39,20.4,0.04,100.0,120.0,30,2.2,0.4,0.6,0.98,15.0,0,0,0,0,0,0,0,0,0,0,0,1
350,19.37,2.77,0.0,0.0,270.0,1.39,20.4,0.04,100.0,120.0,35,0.55,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
305,19.77,4.4,0.0,0.0,493.0,1.35,8.81,100.0,60.0,90.0,80,0.84,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
600,48.2,11.9,0.0,0.0,330.0,1.369,8.04,100.0,60.0,60.0,90,3.78,0.4463414634146342,0.30975609756097566,1.03,200.0,0,0,0,0,0,0,0,0,1,0,0,0
305,34.22,7.98,0.0,0.0,1005.0,1.13,3.18,100.0,60.0,30.0,100,1.9,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
305,19.77,4.44,0.0,0.0,483.0,1.36,9.04,100.0,60.0,30.0,80,0.77,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
600,29.13,7.64,0.0,0.0,1224.86,1.09,6.46,100.0,60.0,60.0,60,1.5,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,1,0,0,0,0,0,0,0,0
103,19.69,5.29,0.0,0.0,493.0,1.35,8.81,100.0,60.0,90.0,20,1.12,0.6666666666666666,0.3333333333333333,0.95,20.0,0,0,0,0,0,0,0,0,0,0,0,1
600,83.58,19.32,0.0,0.0,447.0,4.52,40.45,10.0,100.0,900.0,30,1.94,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,1,0,0,0,0,0,0,0,0,0
600,39.39,5.37,0.47,0.05,880.0,1.13,5.14,0.04,90.0,800.0,30,0.71,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
305,19.51,4.29,0.0,0.0,1005.0,1.13,3.18,100.0,60.0,30.0,100,0.4,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,0,0,0,0,0
600,10.0,2.5,0.0,0.0,3492.0,2.2,2.52,0.04,90.0,750.0,25,0.01,0.418013856812933,0.3510392609699769,1.03,200.0,0,0,0,0,0,0,0,1,0,0,0,0
2201,135.0,7.17,0.0,0.0,608.0,2.03,28.4,10.0,90.0,180.0,75,1.21,0.5,0.0,1.08,100.0,0,1,0,0,0,0,0,0,0,0,0,1
2200,35.0,6.17,0.0,0.0,608.0,2.03,28.4,10.0,90.0,180.0,140,0.78,1.0,0.0,1.08,100.0,0,1,0,0,0,0,0,0,0,0,0,1
305,35.23,8.24,0.0,0.0,1362.0,0.93,2.74,100.0,60.0,30.0,60,1.13,0.418013856812933,0.3510392609699769,1.03,200.0,1,0,0,0,0,0,0,0,0,0,0,0
